charform,frequency,perMILL,zipf,CD_N,CD_percent,CD_log
撼,1353,28.984871396717800,4.462171377785290,806,0.1557487922705310,2.906335041805090
光,14515,310.9500431066950,5.492690621355360,4103,0.7928502415458940,3.6131015169669100
占,3898,83.5055644526281,4.921715415969270,1887,0.3646376811594200,3.2757719001649300
严,6301,134.98423848538000,5.1302830608027900,2850,0.5507246376811590,3.45484486000851
整,33571,719.1804269469420,5.85683785922488,5003,0.9667632850241550,3.699230502883410
跨,2417,51.77859140123190,4.714150231595320,1242,0.24,3.0941215958405600
越,11471,245.73943813137400,5.39047486095042,3145,0.6077294685990340,3.497620649781290
恼,865,18.530608838256400,4.267889688652480,541,0.10454106280193200,2.7331972651065700
涉,2722,58.31250550027030,4.765761702054980,1533,0.296231884057971,3.185542154854380
官,5355,114.71839344377200,5.05963305635554,1989,0.3843478260869570,3.2986347831244400
司,21991,471.1059178752550,5.673118559734790,3300,0.6376811594202900,3.5185139398778900
沉,4062,87.01888219768480,4.939613500256450,2076,0.4011594202898550,3.31722734917642
惨,1760,37.70389775182800,4.576386249001820,1104,0.21333333333333300,3.0429690733931800
满,11225,240.4694615137890,5.381059930863030,3888,0.7513043478260870,3.589726256254240
负,7074,151.54396175933600,5.180538636666400,2937,0.567536231884058,3.4679039465228000
待,13836,296.4040507353930,5.471884134529990,4209,0.8133333333333330,3.6241789257480200
遇,9766,209.2137871842910,5.32059030113577,3488,0.6740096618357490,3.5425764762605300
崩,1832,39.24632993258460,4.593799050519500,988,0.19091787439613500,2.9947569445876300
溃,1223,26.19992440368500,4.418300038223950,671,0.12966183574879200,2.826722520168990
足,8762,187.70542733040700,5.273476830029820,3394,0.6558454106280190,3.530711837981660
静,4114,88.1328609948979,4.945137868546370,1965,0.37971014492753600,3.2933625547114500
煮,1052,22.536647974388100,4.352889321005390,410,0.07922705314009660,2.6127838567197400
拐,693,14.845909739782300,4.171606815799470,354,0.06840579710144930,2.5490032620257900
双,5066,108.52724205156800,5.035538766642190,2247,0.43420289855072500,3.351603072419130
犀,233,4.991481918281770,3.6982295022136800,145,0.028019323671497600,2.161368002234980
眼,12992,278.3233179498570,5.444549593084770,3899,0.7534299516908210,3.590953235187990
睛,2371,50.79314861908190,4.705805135165850,1255,0.242512077294686,3.098643725817060
巨,5667,121.40226622705100,5.084226793829160,2465,0.47632850241545900,3.391816923613250
倦,278,5.955502031254650,3.7749183771057400,209,0.04038647342995170,2.3201462861110500
怠,139,2.977751015627320,3.4738883814417600,98,0.01893719806763290,1.9912260756924900
眠,1252,26.821181809823100,4.428477910062080,518,0.10009661835748800,2.714329759745230
剧,25209,540.0440672874040,5.732429199450560,3126,0.6040579710144930,3.494988973683170
符,3559,76.24327960156580,4.882201569191510,1947,0.37623188405797100,3.2893659515200300
预,8028,171.98118815436100,5.235480945003110,2765,0.5342995169082130,3.441695135640720
终,9858,211.18467274859100,5.324662395006370,3655,0.706280193236715,3.562887381293880
陌,1909,40.89587545922700,4.611679509581330,1037,0.2003864734299520,3.015778756389040
纠,1898,40.66022609827810,4.609169789278940,1177,0.22743961352657000,3.0707764628434300
座,4129,88.45420103255550,4.946718464062370,1585,0.30628019323671500,3.2000292665537700
遵,587,12.575106807001700,4.0995116824352800,431,0.08328502415458940,2.6344772701607300
堆,2683,57.477021402360500,4.759494253859610,1661,0.3209661835748790,3.2203696324513900
犹,1050,22.493802636033700,4.352062880257600,647,0.125024154589372,2.8109042806687000
聊,35946,770.0592662427320,5.886524151161670,4760,0.9198067632850240,3.677606952720490
稍,6368,136.4195573202500,5.134876635917280,3149,0.6085024154589370,3.498172660636540
微,15493,331.90141356197200,5.521009102064700,4331,0.8369082125603870,3.636588183729840
诱,631,13.517704250797400,4.1309029404318,419,0.08096618357487920,2.622214022966300
容,25698,550.5197525150430,5.740772905967880,4828,0.9329468599033820,3.6837672614253100
