transcript_id,token_num,type_num,charactor_token_num,charactor_type_num,logTTR,duration,Wpm
transcript_302,6357,1071,9432,839,0.7966312256983633,1799.8699999999983,314.42270830671134
transcript_3684,5820,1432,8442,1015,0.8382490241736823,1799.5199999999993,281.4750600160044
transcript_4855,4389,1206,6876,937,0.8459741998466028,1796.4500000000005,229.65292660524918
transcript_464,6104,1207,8912,921,0.8140573346253835,1798.31,297.3458413732894
transcript_1905,5556,1071,8504,801,0.8090739221953969,1799.710000000001,283.5123436553665
transcript_3874,6097,1282,9208,974,0.8210812733490735,1798.5500000000002,307.180784520864
transcript_3860,6560,1158,9714,840,0.8026685209582212,1798.5800000000008,324.0556438968518
transcript_1911,6160,1207,9188,866,0.8132053396316837,1798.75,306.47949965253645
transcript_458,5539,1353,8647,976,0.8364779506181557,1799.7699999999993,288.27016785478156
transcript_4869,6286,1114,9075,855,0.8021550507350497,1798.6299999999987,302.7304114798488
transcript_3041,5803,1137,8534,865,0.8119135354274705,1798.9900000000002,284.62637368745794
transcript_1656,6039,1144,9022,886,0.8089009024169256,1799.25,300.8586911213005
transcript_1130,6152,1088,9544,804,0.8014293509080878,1799.5000000000002,318.22172825784935
transcript_3727,6688,1169,9978,854,0.8019808922220039,1794.4900000000005,333.6212517205445
transcript_4048,6360,1364,9778,985,0.8242013186958299,1799.7200000000007,325.98404196208287
transcript_2439,5752,1269,8675,943,0.8254284909228389,1799.6600000000003,289.2212973561672
transcript_3733,6447,1285,8902,975,0.8161226634029946,1799.5899999999997,296.80093799143145
transcript_1124,6252,1269,9427,939,0.817556931921351,1799.3199999999997,314.3520885667919
transcript_1642,6030,1177,9407,884,0.8123065365391181,1799.7999999999995,313.60151127903106
transcript_2363,6832,1495,10415,1020,0.8279049605030624,1799.9199999999996,347.1820969820881
transcript_4712,6269,1147,9321,869,0.805742339609521,1799.36,310.81051040369914
transcript_4074,6037,1177,9084,875,0.8121982818058686,1799.0099999999989,302.96663164740625
transcript_26,5106,930,8065,709,0.8005442977870525,1798.8100000000015,269.01117961318846
transcript_2405,5704,1101,8407,842,0.8098088244535403,1798.6,280.45146224841545
transcript_1118,6655,1369,9946,1020,0.8203719550137673,1799.66,331.5959681273129
transcript_289,4761,1039,7066,807,0.8202455445508354,1798.730000000001,235.69963251849904
transcript_32,5125,891,7953,668,0.79518089837783,1799.6199999999994,265.155977373001
