wordform,frequency,word_length,perMILL,zipf,CD_N,CD_percent,CD_log,pos,pos_freq,dom_pos,dom_pos_freq
逆境,26,2,0.8331414971629609,2.9207187663749266,19,0.003671497584541,1.2787536009528289,['n'],[26],n,26
本职,26,2,0.8331414971629609,2.9207187663749266,24,0.0046376811594202,1.380211241711606,['n'],[26],n,26
复生,26,2,0.8331414971629609,2.9207187663749266,13,0.0025120772946859,1.1139433523068367,"['b', 'nz', 'v']","[1, 3, 22]",v,22
外太空,26,3,0.8331414971629609,2.9207187663749266,17,0.0032850241545893,1.230448921378274,"['n', 'nd', 'nl']","[1, 24, 1]",nd,24
清真,26,2,0.8331414971629609,2.9207187663749266,18,0.0034782608695652,1.255272505103306,"['a', 'n', 'nh']","[19, 5, 2]",a,19
周处,26,2,0.8331414971629609,2.9207187663749266,12,0.0023188405797101,1.0791812460476249,"['j', 'n', 'nh', 'nl', 'nt']","[1, 6, 14, 4, 1]",nh,14
常态化,26,3,0.8331414971629609,2.9207187663749266,23,0.0044444444444444,1.3617278360175928,['v'],[26],v,26
舞蹈会,26,3,0.8331414971629609,2.9207187663749266,7,0.0013526570048309,0.8450980400142568,['n'],[26],n,26
旺旺,26,2,0.8331414971629609,2.9207187663749266,16,0.0030917874396135,1.2041199826559248,"['a', 'nh', 'ns', 'nz', 'z']","[9, 4, 4, 3, 6]",a,9
渔船,26,2,0.8331414971629609,2.9207187663749266,16,0.0030917874396135,1.2041199826559248,['n'],[26],n,26
穴位,26,2,0.8331414971629609,2.9207187663749266,16,0.0030917874396135,1.2041199826559248,['n'],[26],n,26
下人,26,2,0.8331414971629609,2.9207187663749266,23,0.0044444444444444,1.3617278360175928,"['n', 'nd', 'v']","[22, 1, 3]",n,22
店名,26,2,0.8331414971629609,2.9207187663749266,22,0.0042512077294685,1.3424226808222062,['n'],[26],n,26
张雪峰,26,3,0.8331414971629609,2.9207187663749266,19,0.003671497584541,1.2787536009528289,['nh'],[26],nh,26
一团糟,26,3,0.8331414971629609,2.9207187663749266,25,0.0048309178743961,1.3979400086720375,"['i', 'n']","[25, 1]",i,25
体验会,26,3,0.8331414971629609,2.9207187663749266,24,0.0046376811594202,1.380211241711606,"['n', 'v']","[9, 17]",v,17
太阳系,26,3,0.8331414971629609,2.9207187663749266,17,0.0032850241545893,1.230448921378274,['n'],[26],n,26
天山,26,2,0.8331414971629609,2.9207187663749266,19,0.003671497584541,1.2787536009528289,"['n', 'ns']","[3, 23]",ns,23
南塔,26,2,0.8331414971629609,2.9207187663749266,5,0.0009661835748792,0.6989700043360189,"['j', 'n', 'nd', 'nh', 'ns', 'nz']","[1, 5, 1, 1, 17, 1]",ns,17
武德,26,2,0.8331414971629609,2.9207187663749266,19,0.003671497584541,1.2787536009528289,"['n', 'nh', 'ns']","[12, 12, 2]",n,12
搅和,26,2,0.8331414971629609,2.9207187663749266,22,0.0042512077294685,1.3424226808222062,['v'],[26],v,26
金贵,26,2,0.8331414971629609,2.9207187663749266,21,0.0040579710144927,1.3222192947339193,['a'],[26],a,26
网状,26,2,0.8331414971629609,2.9207187663749266,20,0.0038647342995169,1.3010299956639813,['n'],[26],n,26
旅人,26,2,0.8331414971629609,2.9207187663749266,14,0.0027053140096618,1.146128035678238,['n'],[26],n,26
不菲,26,2,0.8331414971629609,2.9207187663749266,21,0.0040579710144927,1.3222192947339193,['a'],[26],a,26
洁,26,1,0.8331414971629609,2.9207187663749266,23,0.0044444444444444,1.3617278360175928,"['a', 'v']","[25, 1]",a,25
保皇党,26,3,0.8331414971629609,2.9207187663749266,8,0.0015458937198067,0.9030899869919436,['n'],[26],n,26
走线,26,2,0.8331414971629609,2.9207187663749266,17,0.0032850241545893,1.230448921378274,"['n', 'v']","[5, 21]",v,21
本该,26,2,0.8331414971629609,2.9207187663749266,24,0.0046376811594202,1.380211241711606,['d'],[26],d,26
摆设,26,2,0.8331414971629609,2.9207187663749266,22,0.0042512077294685,1.3424226808222062,"['n', 'v']","[17, 9]",n,17
成熟期,26,3,0.8331414971629609,2.9207187663749266,16,0.0030917874396135,1.2041199826559248,"['a', 'n']","[1, 25]",n,25
上行,26,2,0.8331414971629609,2.9207187663749266,24,0.0046376811594202,1.380211241711606,"['a', 'n', 'nd', 'v']","[7, 2, 2, 15]",v,15
回想起,26,3,0.8331414971629609,2.9207187663749266,26,0.0050241545893719,1.414973347970818,['v'],[26],v,26
前夜,26,2,0.8331414971629609,2.9207187663749266,19,0.003671497584541,1.2787536009528289,"['n', 'nd', 'nt']","[1, 2, 23]",nt,23
订购,26,2,0.8331414971629609,2.9207187663749266,21,0.0040579710144927,1.3222192947339193,['v'],[26],v,26
本篇,26,2,0.8331414971629609,2.9207187663749266,15,0.0028985507246376,1.1760912590556811,"['n', 'r']","[1, 25]",r,25
倚,26,1,0.8331414971629609,2.9207187663749266,23,0.0044444444444444,1.3617278360175928,['v'],[26],v,26
骗术,26,2,0.8331414971629609,2.9207187663749266,12,0.0023188405797101,1.0791812460476249,"['n', 'v']","[25, 1]",n,25
萨克森,26,3,0.8331414971629609,2.9207187663749266,4,0.0007729468599033,0.6020599913279624,['nh'],[26],nh,26
手忙脚乱,26,4,0.8331414971629609,2.9207187663749266,25,0.0048309178743961,1.3979400086720375,['i'],[26],i,26
率领,26,2,0.8331414971629609,2.9207187663749266,20,0.0038647342995169,1.3010299956639813,['v'],[26],v,26
淋巴,26,2,0.8331414971629609,2.9207187663749266,10,0.0019323671497584,1.0,"['i', 'j', 'n', 'nz']","[1, 1, 18, 6]",n,18
芦苇,26,2,0.8331414971629609,2.9207187663749266,16,0.0030917874396135,1.2041199826559248,['n'],[26],n,26
万分,26,2,0.8331414971629609,2.9207187663749266,25,0.0048309178743961,1.3979400086720375,"['d', 'm']","[24, 2]",d,24
大友,26,2,0.8331414971629609,2.9207187663749266,7,0.0013526570048309,0.8450980400142568,"['n', 'nz']","[25, 1]",n,25
招魂,26,2,0.8331414971629609,2.9207187663749266,13,0.0025120772946859,1.1139433523068367,['v'],[26],v,26
徐福记,26,3,0.8331414971629609,2.9207187663749266,2,0.0003864734299516,0.3010299956639812,['nh'],[26],nh,26
尼,26,1,0.8331414971629609,2.9207187663749266,16,0.0030917874396135,1.2041199826559248,"['j', 'n', 'nh', 'q', 'v']","[12, 5, 6, 2, 1]",j,12
超标,26,2,0.8331414971629609,2.9207187663749266,24,0.0046376811594202,1.380211241711606,['v'],[26],v,26
装点,26,2,0.8331414971629609,2.9207187663749266,26,0.0050241545893719,1.414973347970818,"['n', 'v']","[2, 24]",v,24
作祟,26,2,0.8331414971629609,2.9207187663749266,26,0.0050241545893719,1.414973347970818,['v'],[26],v,26
不予,26,2,0.8331414971629609,2.9207187663749266,22,0.0042512077294685,1.3424226808222062,['v'],[26],v,26
悄无声息,26,4,0.8331414971629609,2.9207187663749266,21,0.0040579710144927,1.3222192947339193,['i'],[26],i,26
纠错,26,2,0.8331414971629609,2.9207187663749266,13,0.0025120772946859,1.1139433523068367,"['n', 'v']","[3, 23]",v,23
要不先,26,3,0.8331414971629609,2.9207187663749266,26,0.0050241545893719,1.414973347970818,"['c', 'v']","[19, 7]",c,19
指尖,26,2,0.8331414971629609,2.9207187663749266,17,0.0032850241545893,1.230448921378274,['n'],[26],n,26
应激反应,26,4,0.8331414971629609,2.9207187663749266,23,0.0044444444444444,1.3617278360175928,"['i', 'v']","[10, 16]",v,16
白俄罗斯,26,4,0.8331414971629609,2.9207187663749266,7,0.0013526570048309,0.8450980400142568,['ns'],[26],ns,26
林语堂,26,3,0.8331414971629609,2.9207187663749266,7,0.0013526570048309,0.8450980400142568,"['n', 'nh', 'nz']","[3, 21, 2]",nh,21
冰雹,26,2,0.8331414971629609,2.9207187663749266,19,0.003671497584541,1.2787536009528289,['n'],[26],n,26
许慎,26,2,0.8331414971629609,2.9207187663749266,5,0.0009661835748792,0.6989700043360189,"['a', 'd', 'nh']","[1, 9, 16]",nh,16
巨资,26,2,0.8331414971629609,2.9207187663749266,25,0.0048309178743961,1.3979400086720375,['n'],[26],n,26
装装,26,2,0.8331414971629609,2.9207187663749266,25,0.0048309178743961,1.3979400086720375,"['n', 'v']","[1, 25]",v,25
卢浮宫,26,3,0.8331414971629609,2.9207187663749266,17,0.0032850241545893,1.230448921378274,"['n', 'ns']","[1, 25]",ns,25
酿酒师,26,3,0.8331414971629609,2.9207187663749266,15,0.0028985507246376,1.1760912590556811,['n'],[26],n,26
婚外,26,2,0.8331414971629609,2.9207187663749266,18,0.0034782608695652,1.255272505103306,"['n', 'nl', 'nt']","[9, 16, 1]",nl,16
早都,26,2,0.8331414971629609,2.9207187663749266,24,0.0046376811594202,1.380211241711606,"['a', 'd']","[3, 23]",d,23
增长期,26,3,0.8331414971629609,2.9207187663749266,21,0.0040579710144927,1.3222192947339193,"['b', 'n']","[1, 25]",n,25
冷藏,26,2,0.8331414971629609,2.9207187663749266,21,0.0040579710144927,1.3222192947339193,"['n', 'v']","[2, 24]",v,24
理论化,26,3,0.8331414971629609,2.9207187663749266,24,0.0046376811594202,1.380211241711606,['v'],[26],v,26
三六九等,26,4,0.8331414971629609,2.9207187663749266,22,0.0042512077294685,1.3424226808222062,"['b', 'i', 'm']","[2, 17, 7]",i,17
狗血,26,2,0.8331414971629609,2.9207187663749266,24,0.0046376811594202,1.380211241711606,"['n', 'ns', 'v']","[20, 1, 5]",n,20
合谋,26,2,0.8331414971629609,2.9207187663749266,22,0.0042512077294685,1.3424226808222062,"['n', 'v']","[5, 21]",v,21
狗仔,26,2,0.8331414971629609,2.9207187663749266,15,0.0028985507246376,1.1760912590556811,"['n', 'nh']","[24, 2]",n,24
小琪,26,2,0.8331414971629609,2.9207187663749266,5,0.0009661835748792,0.6989700043360189,"['nh', 'nz']","[25, 1]",nh,25
区域性,26,3,0.8331414971629609,2.9207187663749266,24,0.0046376811594202,1.380211241711606,['n'],[26],n,26
扳,26,1,0.8331414971629609,2.9207187663749266,17,0.0032850241545893,1.230448921378274,['v'],[26],v,26
口才,26,2,0.8331414971629609,2.9207187663749266,24,0.0046376811594202,1.380211241711606,['n'],[26],n,26
做空,26,2,0.8331414971629609,2.9207187663749266,10,0.0019323671497584,1.0,['v'],[26],v,26
驾游,26,2,0.8331414971629609,2.9207187663749266,21,0.0040579710144927,1.3222192947339193,['v'],[26],v,26
欢愉,26,2,0.8331414971629609,2.9207187663749266,24,0.0046376811594202,1.380211241711606,['a'],[26],a,26
凉水,26,2,0.8331414971629609,2.9207187663749266,21,0.0040579710144927,1.3222192947339193,['n'],[26],n,26
